temperature	accepted	best_energy
100.000000	54.000000	32.000000
99.000000	52.000000	32.000000
98.010002	57.000000	26.000000
97.029900	58.000000	26.000000
96.059601	54.000000	26.000000
95.099007	56.000000	26.000000
94.148018	59.000000	26.000000
93.206535	60.000000	26.000000
92.274467	57.000000	26.000000
91.351723	62.000000	24.000000
90.438202	57.000000	24.000000
89.533821	55.000000	24.000000
88.638481	56.000000	24.000000
87.752098	58.000000	24.000000
86.874580	62.000000	24.000000
86.005836	61.000000	24.000000
85.145775	53.000000	24.000000
84.294319	60.000000	24.000000
83.451378	61.000000	24.000000
82.616867	55.000000	24.000000
81.790695	57.000000	24.000000
80.972786	60.000000	24.000000
80.163055	58.000000	24.000000
79.361427	59.000000	24.000000
78.567810	57.000000	24.000000
77.782135	53.000000	24.000000
77.004311	64.000000	24.000000
76.234268	60.000000	24.000000
75.471924	54.000000	24.000000
74.717201	58.000000	24.000000
73.970032	59.000000	24.000000
73.230331	53.000000	24.000000
72.498032	54.000000	24.000000
71.773048	56.000000	24.000000
71.055321	59.000000	24.000000
70.344765	56.000000	24.000000
69.641319	58.000000	24.000000
68.944908	61.000000	24.000000
68.255463	60.000000	24.000000
67.572906	57.000000	24.000000
66.897179	61.000000	24.000000
66.228210	53.000000	24.000000
65.565926	54.000000	24.000000
64.910263	62.000000	24.000000
64.261162	59.000000	24.000000
63.618549	52.000000	24.000000
62.982365	65.000000	24.000000
62.352543	59.000000	24.000000
61.729019	59.000000	24.000000
61.111729	53.000000	24.000000
60.500610	58.000000	24.000000
59.895603	56.000000	24.000000
59.296646	61.000000	24.000000
58.703678	51.000000	24.000000
58.116642	55.000000	24.000000
57.535477	58.000000	24.000000
56.960121	61.000000	24.000000
56.390518	59.000000	24.000000
55.826614	53.000000	24.000000
55.268349	57.000000	24.000000
54.715664	55.000000	24.000000
54.168507	65.000000	24.000000
53.626823	59.000000	24.000000
53.090553	60.000000	24.000000
52.559647	67.000000	24.000000
52.034050	57.000000	24.000000
51.513710	59.000000	24.000000
50.998573	58.000000	24.000000
50.488586	61.000000	24.000000
49.983700	55.000000	24.000000
49.483864	56.000000	24.000000
48.989025	58.000000	24.000000
48.499134	60.000000	24.000000
48.014141	55.000000	24.000000
47.534000	57.000000	24.000000
47.058659	56.000000	24.000000
46.588074	57.000000	24.000000
46.122192	62.000000	24.000000
45.660969	54.000000	24.000000
45.204361	61.000000	24.000000
44.752316	60.000000	24.000000
44.304790	55.000000	24.000000
43.861744	54.000000	24.000000
43.423126	58.000000	24.000000
42.988895	53.000000	24.000000
42.559006	59.000000	24.000000
42.133415	58.000000	24.000000
41.712082	57.000000	24.000000
41.294960	60.000000	24.000000
40.882011	61.000000	24.000000
40.473190	64.000000	24.000000
40.068459	59.000000	24.000000
39.667774	52.000000	24.000000
39.271095	55.000000	24.000000
38.878384	52.000000	24.000000
38.489601	52.000000	24.000000
38.104706	59.000000	24.000000
37.723660	60.000000	24.000000
37.346424	56.000000	24.000000
36.972961	59.000000	24.000000
36.603233	55.000000	24.000000
36.237202	58.000000	24.000000
35.874828	56.000000	24.000000
35.516079	58.000000	24.000000
35.160919	54.000000	24.000000
34.809311	53.000000	24.000000
34.461216	48.000000	24.000000
34.116604	52.000000	24.000000
33.775436	56.000000	24.000000
33.437683	50.000000	24.000000
33.103306	56.000000	24.000000
32.772274	60.000000	24.000000
32.444550	54.000000	24.000000
32.120106	63.000000	24.000000
31.798904	56.000000	24.000000
31.480915	56.000000	24.000000
31.166105	58.000000	24.000000
30.854445	58.000000	24.000000
30.545900	47.000000	24.000000
30.240442	52.000000	24.000000
29.938038	55.000000	24.000000
29.638657	56.000000	24.000000
29.342270	54.000000	24.000000
29.048847	56.000000	24.000000
28.758358	56.000000	24.000000
28.470774	56.000000	24.000000
28.186066	60.000000	24.000000
27.904205	55.000000	24.000000
27.625164	59.000000	24.000000
27.348913	63.000000	24.000000
27.075424	60.000000	24.000000
26.804670	59.000000	24.000000
26.536623	58.000000	24.000000
26.271257	49.000000	24.000000
26.008545	60.000000	24.000000
25.748459	57.000000	24.000000
25.490974	52.000000	24.000000
25.236065	54.000000	24.000000
24.983704	59.000000	24.000000
24.733866	56.000000	24.000000
24.486526	60.000000	24.000000
24.241661	55.000000	24.000000
23.999245	52.000000	24.000000
23.759253	54.000000	24.000000
23.521660	59.000000	24.000000
23.286444	61.000000	24.000000
23.053579	51.000000	24.000000
22.823044	56.000000	24.000000
22.594814	56.000000	24.000000
22.368866	60.000000	24.000000
22.145178	56.000000	24.000000
21.923725	54.000000	24.000000
21.704489	57.000000	24.000000
21.487444	53.000000	24.000000
21.272570	50.000000	24.000000
21.059843	52.000000	24.000000
20.849245	58.000000	24.000000
20.640753	61.000000	24.000000
20.434345	53.000000	24.000000
20.230001	54.000000	24.000000
20.027702	55.000000	24.000000
19.827425	57.000000	24.000000
19.629150	56.000000	22.000000
19.432859	54.000000	22.000000
19.238531	52.000000	22.000000
19.046146	57.000000	22.000000
18.855684	56.000000	22.000000
18.667128	53.000000	22.000000
18.480455	59.000000	22.000000
18.295650	55.000000	22.000000
18.112694	53.000000	22.000000
17.931566	50.000000	22.000000
17.752251	46.000000	22.000000
17.574728	54.000000	22.000000
17.398981	59.000000	22.000000
17.224991	59.000000	22.000000
17.052740	56.000000	22.000000
16.882214	59.000000	22.000000
16.713392	51.000000	22.000000
16.546259	57.000000	22.000000
16.380796	48.000000	22.000000
16.216988	54.000000	22.000000
16.054817	53.000000	22.000000
15.894269	51.000000	22.000000
